"ch99_code","rate","authority","country_type","countries","general_raw","other_raw","description"
"9903.01.01","0.25","other","all_except","","The duty provided in the applicable subheading + 25%","No change.","Except for products described in headings 9903.01.02, 9903.01.03, 9903.01.04 and 9903.01.05 articles the product of Mexico, as provided for in U.S. note 2(a) to this subchapter"
"9903.01.02",,"other","all","","The duty provided in the applicable subheading","No change.","Articles the product of Mexico that are donations, by persons subject to the jurisdiction of the United States, of articles, such as food, clothing, and medicine, intended to be used to relieve human "
"9903.01.03",,"other","all","","The duty provided in the applicable subheading","No change.","Articles the product of Mexico that are informational materials, including but not limited to, publications, films, posters, phonograph records, photographs, microfilms, microfiche, tapes, compact dis"
"9903.01.04",,"other","all","","No change","No change","Articles that are entered free of duty under the terms of general note 11 to the HTSUS, including any treatment set forth in subchapter XXIII of chapter 98 and subchapter XXII of chapter 99 of the HTS"
"9903.01.05","0.1","other","all","","The duty provided in the applicable subheading + 10%","No change","Potash that is a product of Mexico, as provided for in U.S. note 2(c) to this subchapter"
"9903.01.10","0.35","other","specific","CA","The duty provided in the applicable subheading + 35%","No change","Except for products described in headings 9903.01.11, 9903.01.12, 9903.01.13, 9903.01.14 or 9903.01.15, articles the product of Canada, as provided for in U.S. note 2(j) to this subchapter"
"9903.01.11",,"other","specific","CA","The duty provided in the applicable subheading","No change","Articles the product of Canada that are donations, by persons subject to the jurisdiction of the United States, of articles, such as food, clothing, and medicine, intended to be used to relieve human "
"9903.01.12",,"other","specific","CA","The duty provided in the applicable subheading","No change","Articles the product of Canada that are informational materials, including but not limited to, publications, films, posters, phonograph records, photographs, microfilms, microfiche, tapes, compact dis"
"9903.01.13","0.1","other","all","","The duty provided in the applicable subheading + 10%","No change","Crude oil, natural gas, lease condensates, natural gas liquids, refined petroleum products, uranium, coal, biofuels, geothermal heat, the kinetic movement of flowing water, and critical minerals, as d"
"9903.01.14",,"other","all","","No change","No change","Articles that are entered free of duty under the terms of general note 11 to the HTSUS, including any treatment set forth in subchapter XXIII of chapter 98 and subchapter XXII of chapter 99 of the HTS"
"9903.01.15","0.1","other","specific","CA","The duty provided in the applicable subheading +10%","No change","Potash that is a product of Canada, as provided for in U.S. note 2(I) to this subchapter"
"9903.01.16","0.4","other","specific","CA","The duty provided in the applicable subheading + 40%","The duty provided in the applicable subheading","Except for products described in 9903.01.11, 9903.01.12, and 9903.01.14, articles the product of Canada as provided for in subdivision (m) to note 2 to this subchapter and determined by CBP to have be"
"9903.01.20","0.1","other","specific","CN","The duty provided in the applicable subheading + 10%","No change","Except for products described in headings 9903.01.21, 9903.01.22, or 9903.01.23 articles the product of China and Hong Kong, as provided for in U.S. note 2(s) to this subchapter"
