hts10,country,s232_annex,months,realized_vw,T_full_vw,T_us_vw,T_exit_vw,share_full,share_us_origin,share_exit,share_unexplained,share_ambiguous,z0_raw_vw,u_raw_vw,any_partial_month,con_val
8471300100,5520,annex_1b,2,1.9164819173633836e-4,0.25,0.1,0,0,0,1,0,0,0.9992334072330546,1.6653890120550914,TRUE,7735110812
8471709000,2010,annex_1b,2,3.97331988224628e-6,0.25,0.1,0,0,0,1,0,0,0.999984106720471,1.666640177867452,TRUE,1924838731
8471704065,5490,annex_1b,2,0.00129840963098327,0.25,0.1,0,0,0,1,0,0,0.9948063614760669,1.6580106024601118,TRUE,1161497854
3004909225,4419,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.6666666666666667,TRUE,1147462226
8471300100,5490,annex_1b,2,0.007184939561592642,0.25,0.10000000000000002,0,0,0,1,0,0,0.9712602417536295,1.6187670695893828,TRUE,1034900285
3004909216,4190,annex_1b,2,2.2224188116110566e-6,0.25,0.1,0,0,0,1,0,0,0.9999911103247535,1.6666518505412562,TRUE,957065333
8471300100,2010,annex_1b,2,2.3546688178236705e-6,0.25,0.1,0,0,0,1,0,0,0.9999905813247287,1.6666509688745479,TRUE,950876821
8471490000,5830,annex_1b,2,9.703661326790282e-5,0.25,0.10000000000000002,0,0,0,1,0,0,0.9996118535469284,1.6660197559115475,TRUE,905802429
8471300100,5700,annex_1b,2,0.0019970388283391234,0.25,0.10000000000000002,0,0,0,1,0,0,0.9920118446866435,1.6533530744777394,TRUE,758857053
8708998180,2010,annex_1b,2,0.05472733703198055,0.04588169441491626,0.10417106312862874,0.02085531564314376,1,0,0,0,1,-0.3534527586964109,NA,TRUE,733015750
3004909216,4419,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.666666666666667,TRUE,662965304
8429521010,5880,annex_1b,2,0.23123356743598802,0.25,0.10000000000000002,0.10000000000000002,1,0,0,0,0,0.12510955042674649,0.12510955042674649,TRUE,655257983
3004909225,5590,annex_1b,2,1.8081932554860655e-6,0.25,0.1,0,0,0,1,0,0,0.999992767226978,1.6666546120449637,TRUE,631016622
7601106090,1220,annex_1a,2,0.4742759966923893,0.5,0.1,0.0032543940456074894,1,0,0,0,0,0.05178506462716953,0.06431000826902676,TRUE,503597354
3004909276,4759,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.666666666666667,TRUE,464940297
3004909206,4279,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.666666666666667,TRUE,461535429
8471300100,5830,annex_1b,2,9.386060830125562e-4,0.25,0.10000000000000002,0,0,0,1,0,0,0.9962455756679498,1.6604092927799163,TRUE,440921924
8415908085,2010,annex_1b,2,0.22178472891436665,0.019910303595000914,0.10105584943306824,0.0010558494330682303,0,0,0,1,0,-10.706988576044385,NA,TRUE,399373728
8471702000,5490,annex_1b,2,5.126454827425944e-4,0.25,0.1,0,0,0,1,0,0,0.9979494180690296,1.6632490301150495,TRUE,391206022
8716390040,2010,annex_1b,2,0.1363383141056922,0.25,0.1,8.603805245904761e-4,0,1,0,0,0,0.45621682385818363,0.7577445726287189,TRUE,383293767
8807300030,5880,annex_1b,2,8.170077906283071e-4,0.25,0.10000000000000002,0,0,0,1,0,0,0.9967319688374868,1.6612199480624779,TRUE,366451830
3004909216,4050,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.666666666666667,TRUE,353130322
3004909276,5081,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.6666666666666667,TRUE,352760027
3004909225,4120,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.666666666666667,TRUE,348424996
3004909206,4190,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.666666666666667,TRUE,344317657
8544429090,2010,annex_1b,2,0.19100904767843388,0.04309809696655113,0.10405996565626932,0.019675218180382044,0,0,0,1,0,-6.314806649608854,NA,TRUE,340707290
3004909234,4419,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.6666666666666667,TRUE,335104470
8708998180,1220,annex_1b,2,0.04897155821159734,0.030028140313636518,0.10272983093760332,0.013649154688016602,1,0,0,0,1,-1.156568442695843,NA,TRUE,310705286
8807300030,2010,annex_1b,2,0.0012058007093405454,0.25,0.1,0,0,0,1,0,0,0.9951767971626378,1.6586279952710632,TRUE,309903616
3004909225,4190,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.6666666666666667,TRUE,303198533
8471709000,5520,annex_1b,2,1.0766469332060379e-4,0.25,0.10000000000000002,0,0,0,1,0,0,0.9995693412267176,1.6659489020445295,TRUE,250667133
3004909276,5330,annex_1b,2,4.766596592038391e-5,0.25,0.10000000000000002,0,0,0,1,0,0,0.9998093361363185,1.6663488935605308,TRUE,243297283
8415103040,5490,annex_1b,2,0.23371013789116724,0.25,0.10000000000000002,0.10000000000000002,1,0,0,0,0,0.10859908072555184,0.10859908072555184,TRUE,236102505
8428900390,2010,annex_3,2,0.1284344040901586,0.15,0.1,0,0.4740871939300503,0.5259128060699497,0,0,1,0.14377063939894266,0.4313119181968281,TRUE,230896279
8807300030,1220,annex_1b,2,0.008166199751934005,0.25,0.10000000000000002,0,0,0,1,0,0,0.967335200992264,1.612225334987107,TRUE,230272594
