hts10,cty_code,usmca_share
0101210010,1220,0
0101210010,2010,0
0101210020,1220,0
0101210020,2010,0
0101290090,1220,0
0101290090,2010,0
0101300000,1220,0.8054998653460607
0102210010,1220,0
0102210020,1220,0
0102210030,1220,0
0102210050,1220,0
0102292011,1220,0
0102292012,1220,0
0102294024,1220,0.9986966949079319
0102294024,2010,1
0102294028,1220,1
0102294034,1220,1
0102294034,2010,0.9997532005050467
0102294038,1220,1
0102294038,2010,1
0102294054,1220,1
0102294054,2010,0.9991633471378132
0102294058,1220,1
0102294058,2010,0.9997567619435929
0102294062,1220,1
0102294062,2010,1
0102294064,1220,1
0102294064,2010,1
0102294066,1220,1
0102294066,2010,1
0102294068,1220,0.9999585152041089
0102294068,2010,1
0102294072,1220,0.9979339116176976
0102294072,2010,1
0102294074,1220,0.9945778121905964
0102294082,1220,1
0102294082,2010,1
0102294084,1220,1
0102294084,2010,1
0102390010,1220,1
0102390054,1220,1
0102390058,1220,1
0102900000,1220,0.9433341997828779
0103100000,1220,0
0103910010,1220,0
0103910020,1220,0
0103910030,1220,0
0103920010,1220,0
0103920020,1220,0
0103920091,1220,0
0104100000,1220,0
0105110010,1220,1
0105110040,1220,0.9448143881621026
0105120000,1220,1
0105130000,1220,0.9915259866377664
0105140000,1220,1
0105940000,1220,1
0105990000,1220,1
0106130000,1220,0
0106140000,1220,0
0106199120,1220,0
0106199120,2010,0
0106199195,1220,0
0106199195,2010,0
0106200000,1220,0
0106200000,2010,0
0106330000,1220,1
0106390100,1220,0.9234758614575657
0106410000,1220,0
0106490010,1220,0
0106490090,1220,0
0106490090,2010,0
0106900110,1220,0
0106900120,1220,0
0106900180,1220,0
0106900180,2010,0
0201101090,2010,1
0201105010,1220,1
0201201000,1220,1
0201201000,2010,1
0201203000,2010,1
0201205015,1220,1
0201205025,1220,1
0201205025,2010,1
0201205035,1220,1
0201205035,2010,1
0201205045,1220,1
0201205045,2010,1
0201205065,1220,1
0201205075,1220,1
0201205075,2010,1
0201205091,1220,1
0201205091,2010,1
0201208010,1220,1
