hts10,cty_code,usmca_share,total_value,usmca_value
0101210010,1220,1,24337,24337
0101210010,2010,1,4000,4000
0101210020,1220,1,70026,70026
0101210020,2010,0,10000,0
0101290010,1220,0,0,0
0101290010,2010,0,0,0
0101290090,1220,1,5768678,5768678
0101290090,2010,0.9902912621359223,515000,510000
0101300000,1220,1,6500,6500
0101300000,2010,0,0,0
0101903000,1220,0,0,0
0101903000,2010,0,0,0
0101904000,1220,0,0,0
0101904000,2010,0,0,0
0102210010,1220,1,25861,25861
0102210010,2010,0,0,0
0102210020,1220,1,656170,656170
0102210020,2010,0,0,0
0102210030,1220,1,2867,2867
0102210030,2010,0,0,0
0102210050,1220,1,155759,155759
0102210050,2010,0,0,0
0102292011,1220,0,0,0
0102292011,2010,0,0,0
0102292012,1220,1,2784989,2784989
0102292012,2010,0,0,0
0102294024,1220,1,1008040,1008040
0102294024,2010,0,0,0
0102294028,1220,1,1183200,1183200
0102294028,2010,0,0,0
0102294034,1220,0,0,0
0102294034,2010,0,0,0
0102294038,1220,1,184948,184948
0102294038,2010,0,0,0
0102294054,1220,1,301418,301418
0102294054,2010,0,0,0
0102294058,1220,1,670146,670146
0102294058,2010,0,0,0
0102294062,1220,1,45178834,45178834
0102294062,2010,0,0,0
0102294064,1220,1,8382473,8382473
0102294064,2010,0,0,0
0102294066,1220,1,19883516,19883516
0102294066,2010,0,0,0
0102294068,1220,1,72206272,72206272
0102294068,2010,0,0,0
0102294072,1220,1,111450,111450
0102294072,2010,0,0,0
0102294074,1220,1,400028,400028
0102294074,2010,0,0,0
0102294082,1220,1,584891,584891
0102294082,2010,0,0,0
0102294084,1220,1,12144566,12144566
0102294084,2010,0,0,0
0102310010,1220,0,0,0
0102310010,2010,0,0,0
0102310020,1220,0,0,0
0102310020,2010,0,0,0
0102390010,1220,1,3277304,3277304
0102390010,2010,0,0,0
0102390024,1220,0,0,0
0102390024,2010,0,0,0
0102390028,1220,0,0,0
0102390028,2010,0,0,0
0102390034,1220,0,0,0
0102390034,2010,0,0,0
0102390038,1220,0,0,0
0102390038,2010,0,0,0
0102390054,1220,0,0,0
0102390054,2010,0,0,0
0102390058,1220,0,0,0
0102390058,2010,0,0,0
0102390061,1220,0,0,0
0102390061,2010,0,0,0
0102390072,1220,0,0,0
0102390072,2010,0,0,0
0102390074,1220,0,0,0
0102390074,2010,0,0,0
0102390082,1220,0,0,0
0102390082,2010,0,0,0
0102390084,1220,0,0,0
0102390084,2010,0,0,0
0102900000,1220,0,0,0
0102900000,2010,0,0,0
0103100000,1220,0,0,0
0103100000,2010,0,0,0
0103910010,1220,1,15237328,15237328
0103910010,2010,0,0,0
0103910020,1220,1,3456357,3456357
0103910020,2010,0,0,0
0103910030,1220,0.9443804903473384,3227141,3047649
0103910030,2010,0,0,0
0103920010,1220,1,27552007,27552007
0103920010,2010,0,0,0
0103920020,1220,1,231453,231453
0103920020,2010,0,0,0
0103920091,1220,1,122030,122030
0103920091,2010,0,0,0
0104100000,1220,1,67751,67751
0104100000,2010,0,0,0
0104200000,1220,0,0,0
0104200000,2010,0,0,0
0105110010,1220,0,0,0
0105110010,2010,0,0,0
0105110020,1220,0,0,0
0105110020,2010,0,0,0
0105110040,1220,1,974177,974177
0105110040,2010,0,0,0
0105120000,1220,1,1237800,1237800
0105120000,2010,0,0,0
0105130000,1220,1,226761,226761
0105130000,2010,0,0,0
0105140000,1220,0,0,0
0105140000,2010,0,0,0
0105150000,1220,0,0,0
0105150000,2010,0,0,0
0105940000,1220,0,0,0
0105940000,2010,0,0,0
0105990000,1220,0.9916949778388665,809751,803026
0105990000,2010,0,0,0
0106110000,1220,0,0,0
0106110000,2010,0,0,0
0106120100,1220,0,0,0
0106120100,2010,0,0,0
0106130000,1220,0,0,0
0106130000,2010,0,0,0
0106140000,1220,0.963229953515398,220288,212188
0106140000,2010,0,0,0
0106193000,1220,0,0,0
0106193000,2010,0,0,0
0106199120,1220,1,30835,30835
0106199120,2010,1,2700,2700
0106199195,1220,1,459375,459375
0106199195,2010,0,0,0
0106200000,1220,1,172349,172349
0106200000,2010,0,0,0
0106310000,1220,0,0,0
0106310000,2010,0,0,0
0106320000,1220,0,0,0
0106320000,2010,0,0,0
0106330000,1220,0,0,0
0106330000,2010,0,0,0
0106390100,1220,1,22554,22554
0106390100,2010,0,0,0
0106410000,1220,1,63128,63128
0106410000,2010,0,0,0
0106490010,1220,0,0,0
0106490010,2010,0,0,0
0106490090,1220,0.9594672740367047,281871,270446
0106490090,2010,0,0,0
0106900110,1220,1,544839,544839
0106900110,2010,0,0,0
0106900120,1220,1,22571,22571
0106900120,2010,0,0,0
0106900180,1220,0.8905111813455828,125611,111858
0106900180,2010,0.46986218827142495,154341,72519
0201100510,1220,0,0,0
0201100510,2010,0,0,0
0201100590,1220,0,0,0
0201100590,2010,0,0,0
0201101010,1220,0,0,0
0201101010,2010,0,0,0
0201101090,1220,0,0,0
0201101090,2010,1,46692,46692
0201105010,1220,1,3394434,3394434
0201105010,2010,0,0,0
0201105090,1220,0,0,0
0201105090,2010,0,0,0
0201200200,1220,0,0,0
0201200200,2010,0,0,0
0201200400,1220,0,0,0
0201200400,2010,0,0,0
0201200600,1220,0,0,0
0201200600,2010,0,0,0
0201201000,1220,1,16251,16251
0201201000,2010,1,893245,893245
0201203000,1220,0,0,0
0201203000,2010,1,2957324,2957324
0201205015,1220,1,1176334,1176334
0201205015,2010,0,0,0
0201205025,1220,1,29679158,29679158
0201205025,2010,1,2543903,2543903
0201205035,1220,1,7493214,7493214
0201205035,2010,1,7507240,7507240
0201205045,1220,1,272771,272771
0201205045,2010,1,3199371,3199371
0201205065,1220,1,854945,854945
0201205065,2010,0,0,0
0201205075,1220,1,725240,725240
0201205075,2010,0,0,0
0201205091,1220,1,1869362,1869362
0201205091,2010,1,28929282,28929282
0201208010,1220,1,329511,329511
0201208010,2010,0,0,0
0201208090,1220,0,0,0
0201208090,2010,1,8797081,8797081
0201300200,1220,0,0,0
0201300200,2010,0,0,0
0201300400,1220,0,0,0
0201300400,2010,0,0,0
0201300600,1220,0,0,0
0201300600,2010,0,0,0
0201301000,1220,1,302419,302419
0201301000,2010,1,3558096,3558096
0201303000,1220,1,4231040,4231040
0201303000,2010,1,8167198,8167198
0201305015,1220,1,972186,972186
0201305015,2010,0,0,0
0201305025,1220,1,30407457,30407457
0201305025,2010,1,6734115,6734115
0201305035,1220,1,48720224,48720224
0201305035,2010,1,10556389,10556389
0201305045,1220,0.9949402647043457,52079009,51815503
0201305045,2010,1,13540021,13540021
0201305055,1220,1,12459255,12459255
0201305055,2010,1,3159839,3159839
0201305065,1220,1,17082221,17082221
0201305065,2010,1,15165065,15165065
0201305075,1220,1,10122301,10122301
0201305075,2010,1,3652328,3652328
0201305085,1220,1,19819919,19819919
0201305085,2010,1,54771212,54771212
0201308010,1220,1,84862,84862
0201308010,2010,0,0,0
0201308090,1220,1,6387714,6387714
0201308090,2010,1,22139667,22139667
0202100510,1220,0,0,0
0202100510,2010,0,0,0
0202100590,1220,0,0,0
0202100590,2010,0,0,0
0202101010,1220,0,0,0
0202101010,2010,0,0,0
0202101090,1220,0,0,0
0202101090,2010,0,0,0
0202105010,1220,0,0,0
0202105010,2010,0,0,0
0202105090,1220,0,0,0
0202105090,2010,0,0,0
0202200200,1220,0,0,0
0202200200,2010,0,0,0
0202200400,1220,0,0,0
0202200400,2010,0,0,0
0202200600,1220,0,0,0
0202200600,2010,0,0,0
0202201000,1220,0,0,0
0202201000,2010,1,4095,4095
0202203000,1220,0,0,0
0202203000,2010,0,0,0
0202205025,1220,1,2479,2479
